text,clean,cluster_kmeans
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone? If everyone thinks you're worthless, then maybe you need to find new people to hang out with.Seriously, the social context in which a person lives is a big influence in self-esteem.Otherwise, you can go round and round trying to understand why you're not worthless, then go back to the same crowd and be knocked down again.There are many inspirational messages you can find in social media.  Maybe read some of the ones which state that no person is worthless, and that everyone has a good purpose to their life.Also, since our culture is so saturated with the belief that if someone doesn't feel good about themselves that this is somehow terrible.Bad feelings are part of living.  They are the motivation to remove ourselves from situations and relationships which do us more harm than good.Bad feelings do feel terrible.   Your feeling of worthlessness may be good in the sense of motivating you to find out that you are much better than your feelings today.",going things feelings barely sleep nothing think worthless never tried contemplated suicide always wanted fix issues never get around change feeling worthless everyone everyone thinks worthless maybe need find new people hang seriously social context person lives big influence self esteem otherwise go round round trying understand worthless go back crowd knocked many inspirational messages find social media maybe read ones state person worthless everyone good purpose life also since culture saturated belief someone feel good somehow terrible bad feelings part living motivation remove situations relationships us harm good bad feelings feel terrible feeling worthlessness may good sense motivating find much better feelings today,5
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone? Hello, and thank you for your question and seeking advice on this. Feelings of worthlessness is unfortunately common. In fact, most people, if not all, have felt this to some degree at some point in their life. You are not alone. Changing our feelings is like changing our thoughts - it's hard to do. Our minds are so amazing that the minute you change your thought another one can be right there to take it's place. Without your permission, another thought can just pop in there. The new thought may feel worse than the last one! My guess is that you have tried several things to improve this on your own even before reaching out on here. People often try thinking positive thoughts, debating with their thoughts, or simply telling themselves that they need to ""snap out of it"" - which is also a thought that carries some self-criticism. Some people try a different approach, and there are counselors out there that can help you with this. The idea is that instead of trying to change the thoughts, you change how you respond to them. You learn skills that allow you to manage difficult thoughts and feelings differently so they don't have the same impact on you that they do right now. For some people, they actually DO begin to experience less hurtful thoughts once they learn how to manage the ones they have differently. Acceptance and Commitment Therapy may be a good choice for you. There is information online and even self-help books that you can use to teach you the skills that I mentioned. Because they are skills, they require practice, but many people have found great relief and an enriched life by learning them. As for suicidal thoughts, I am very glad to read that this has not happened to you. Still, you should watch out for this because it can be a sign of a worsening depression. If you begin to think about this, it is important to reach out to a support system right away. The National Suicide Prevention Lifeline is 1-800-273-8255. The text line is #741741. I hope some other colleagues will provide you more suggestions. Be well...Robin Landwehr, DBH, LPCC",going things feelings barely sleep nothing think worthless never tried contemplated suicide always wanted fix issues never get around change feeling worthless everyone hello thank question seeking advice feelings worthlessness unfortunately common fact people felt degree point life alone changing feelings like changing thoughts hard minds amazing minute change thought another one right take place without permission another thought pop new thought may feel worse last one guess tried several things improve even reaching people often try thinking positive thoughts debating thoughts simply telling need snap also thought carries self criticism people try different approach counselors help idea instead trying change thoughts change respond learn skills allow manage difficult thoughts feelings differently impact right people actually begin experience less hurtful thoughts learn manage ones differently acceptance commitment therapy may good choice information online even self help books use teach skills mentioned skills require practice many people found great relief enriched life learning suicidal thoughts glad read happened still watch sign worsening depression begin think important reach support system right away national suicide prevention lifeline 1 800 273 8255 text line 741741 hope colleagues provide suggestions well robin landwehr dbh lpcc,1
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone? First thing I'd suggest is getting the sleep you need or it will impact how you think and feel. I'd look at finding what is going well in your life and what you can be grateful for. I believe everyone has talents and wants to find their purpose in life. I think you can figure it out with some help.",going things feelings barely sleep nothing think worthless never tried contemplated suicide always wanted fix issues never get around change feeling worthless everyone first thing suggest getting sleep need impact think feel look finding going well life grateful believe everyone talents wants find purpose life think figure help,5
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone? Therapy is essential for those that are feeling depressed and worthless. When I work with those that are experiencing concerns related to feeling of depression and issues with self esteem. I generally work with my client to help build coping skills to reduce level of depression and to assist with strengthening  self esteem, by guiding my client with CBT practices. CBT helps with gaining a better awareness of how your thought process influences your belief system, and how your beliefs impact your actions and the outcome of your behaviors.  This process isn’t easy but it helps teach an individual that we don’t always have control over what happens in our lives but we can control how we interpret, feel, and behave. CBT is good for individuals dealing with depression, anxiety, toxic relationships, stress, self esteem, codependency, etc.",going things feelings barely sleep nothing think worthless never tried contemplated suicide always wanted fix issues never get around change feeling worthless everyone therapy essential feeling depressed worthless work experiencing concerns related feeling depression issues self esteem generally work client help build coping skills reduce level depression assist strengthening self esteem guiding client cbt practices cbt helps gaining better awareness thought process influences belief system beliefs impact actions outcome behaviors process easy helps teach individual always control happens lives control interpret feel behave cbt good individuals dealing depression anxiety toxic relationships stress self esteem codependency etc,1
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone? I first want to let you know that you are not alone in your feelings and there is always someone there to help. You can always change your feelings and change your way of thinking by being open to trying to change. You can always make yourself available to learning new things or volunteering so that you can make a purpose for yourself.",going things feelings barely sleep nothing think worthless never tried contemplated suicide always wanted fix issues never get around change feeling worthless everyone first want let know alone feelings always someone help always change feelings change way thinking open trying change always make available learning new things volunteering make purpose,5
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone? Heck, sure thing, hun!Feelings of 'depression' have a deeply-rooted base in physical structures that may not be functioning very well at present; and, we can certainly turn them on again using means that you are able to find around the house and with relative ease :)After that, emotional and spiritual support will be liberally applied.",going things feelings barely sleep nothing think worthless never tried contemplated suicide always wanted fix issues never get around change feeling worthless everyone heck sure thing hun feelings depression deeply rooted base physical structures may functioning well present certainly turn using means able find around house relative ease emotional spiritual support liberally applied,5
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone? You are exhibiting some specific traits of a particular temperament type. Seek out a counselor who provides NCCA temperament therapy and discover the joy of being you -- God loves you as you are!",going things feelings barely sleep nothing think worthless never tried contemplated suicide always wanted fix issues never get around change feeling worthless everyone exhibiting specific traits particular temperament type seek counselor provides ncca temperament therapy discover joy god loves,5
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone? That is intense. Depression is a liar. Sometimes depression places these glasses over our eyes, these dark sunglasses that change how we see things. Depression tells us things like ""you're worthless"" ""no one likes you"" ""don't worry about doing anything."" And it is so easy for us to listen and to be tricked into thinking that just because we feel something means it is true. Please know that even if you are feeling worthless right now, that doesn't mean you are worthless.The first step to working through this is recognizing what is going on. Recognizing when depression is telling you the same story (ie; being worthless) with different words (ie worthless here, worthless there) and making an effort to talk back. While I can not give you a diagnosis of depression, reading what you are going through, it sounds like you might need help to get back on track. Seeing a counselor can open an entirely new option up wherein someone who is not involved in your life can help you without judgement and with an objective perspective. This can do wonders in unwrapping these kinds of thoughts. Wishing you the absolute best!",going things feelings barely sleep nothing think worthless never tried contemplated suicide always wanted fix issues never get around change feeling worthless everyone intense depression liar sometimes depression places glasses eyes dark sunglasses change see things depression tells us things like worthless one likes worry anything easy us listen tricked thinking feel something means true please know even feeling worthless right mean worthless first step working recognizing going recognizing depression telling story ie worthless different words ie worthless worthless making effort talk back give diagnosis depression reading going sounds like might need help get back track seeing counselor open entirely new option wherein someone involved life help without judgement objective perspective wonders unwrapping kinds thoughts wishing absolute best,1
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone? It sounds like you may be putting yourself last. You wrote that you want to fix your issues but never get around to it. I wonder how you are spending your mental and physical energy. Are you spending time taking care of and doing for others? I also wonder where the thoughts and feelings of being worthless are coming from - are you around people who treat you poorly or are hurtful? Or do you feel it is more of a worry you have but aren't really sure how others feel? It may be helpful to talk to someone about your feelings - a counselor perhaps - to clarify your feelings and move forward from se that are hurting you.",going things feelings barely sleep nothing think worthless never tried contemplated suicide always wanted fix issues never get around change feeling worthless everyone sounds like may putting last wrote want fix issues never get around wonder spending mental physical energy spending time taking care others also wonder thoughts feelings worthless coming around people treat poorly hurtful feel worry really sure others feel may helpful talk someone feelings counselor perhaps clarify feelings move forward se hurting,5
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone? It must be really difficult to experience what your going through right now.  It takes a lot of courage to reach out. It sounds like you want to get better, but perhaps need some help to get over the hump.  Many of the symptoms you have described are consistent with a person who is dealing with depression.   Depression is a treatable condition.  Typically, if these symptoms have persisted for more than two weeks, then it is a good idea to seek professional help.   Someone who is trained in dealing with depression.  Initially, a comprehensive assessment would be completed to rule out any other causes for your symptoms and to determine the exact nature of your presenting concern.  Then, in collaboration with one another, a tailored treatment plan would be developed, focusing on how to best help you reach your goals.  The good news is that their is hope for getting better! You don;t have to do it alone.  Allow me to be your ally in healing.",going things feelings barely sleep nothing think worthless never tried contemplated suicide always wanted fix issues never get around change feeling worthless everyone must really difficult experience going right takes lot courage reach sounds like want get better perhaps need help get hump many symptoms described consistent person dealing depression depression treatable condition typically symptoms persisted two weeks good idea seek professional help someone trained dealing depression initially comprehensive assessment would completed rule causes symptoms determine exact nature presenting concern collaboration one another tailored treatment plan would developed focusing best help reach goals good news hope getting better alone allow ally healing,1
